Image,Caption
img_0000.png,a white and green page with the words random
img_0001.png,a diagram showing the number of dots in a triangle
img_0002.png,a diagram of a rectangular box with two lines
img_0003.png,a graph showing the average temperature and precipitation
img_0004.png,a graph showing the number of different numbers of different numbers
img_0005.png,a triangle with two sides and one side
img_0006.png,two diagrams showing the different types of people
img_0007.png,the plot shows the number of z - bins and the number of z - bins
img_0008.png,four diagrams showing the different types of triangles
img_0009.png,a black square with a diamond in the middle
img_0010.png,a diagram shows the motion of a sphere
img_0011.png,a diagram showing the root of a tree
img_0012.png,two diagrams showing the same number of nodes
img_0013.png,a diagram showing the different stages of a project
img_0014.png,a diagram of the process for generating a new generation of feasible region
img_0015.png,a plot of the number of nodes in a ring
img_0016.png,two different types of polygons with different shapes
img_0017.png,green halftone circle with white background
img_0018.png,the diagram shows the relationship between two equations
img_0019.png,a diagram showing the different types of lines
img_0020.png,a square with the words image and the word p
img_0021.png,a black and white image of a black and white cat
img_0022.png,a wooden ladder with orange and white stripes
img_0023.png,a pie chart with the words'opegave 7 'on it
img_0024.png,a plot of the number of dots on a line
img_0025.png,a diagram showing the start of a network
img_0026.png,a cylinder with a red and blue line
img_0027.png,a diagram showing the different types of the same function
img_0028.png,a plot of a line with dots on it
img_0029.png,a black and white drawing of a black and white floor
img_0030.png,a graph with three points and two lines
img_0031.png,two plots showing the same data for different types of data
img_0032.png,a diagram showing the position of a line
img_0033.png,a diagram showing the area of a circle
img_0034.png,a city skyline with buildings on an orange background
img_0035.png,a diagram showing the position of a point on a line
img_0036.png,two diagrams showing the same polygon with different angles
img_0037.png,a diagram showing the number of nodes in a network
img_0038.png,two resistors are connected to each other
img_0039.png,two diagrams showing the same process of a circular object
img_0040.png,a line with numbers on it
img_0041.png,a diagram of a network with a circle and lines
img_0042.png,a diagram showing the number of d and e
img_0043.png,a diagram of a network with three dots
img_0044.png,a diagram showing the different types of circles
img_0045.png,a diagram of a triangular triangle with two lines
img_0046.png,a diagram showing the angle of a curve
img_0047.png,a diagram showing the different types of the same process
img_0048.png,a diagram showing the area of a circle
img_0049.png,a diagram of the process of a computer program
img_0050.png,a drawing of a circle with a line through it
img_0051.png,a diagram showing the different levels of the image
img_0052.png,a graph showing the number of rows and columns
img_0053.png,the diagram shows the sign of the tail and the sign of the head
img_0054.png,a diagram showing the number of lines in a square
img_0055.png,a diagram of the different types of electrical circuits
img_0056.png,a plot of the number of electrons in a sample
img_0057.png,a square with two lines on it
img_0058.png,a diagram showing the different types of a tree
img_0059.png,a diagram showing the position of a line
img_0060.png,a triangle with the letters m and g
img_0061.png,a diagram of the process for the control of the system
img_0062.png,a diagram showing the different types of logic
img_0063.png,a diagram with the words without visibility image
img_0064.png,a diagram showing the direction of a line
img_0065.png,a graph with a line that is red and has a red line
img_0066.png,a diagram showing the steps in the process of video encoding
img_0067.png,a diagram showing the flow of a single node
img_0068.png,"a diagram showing the letters a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v, w, x, y, z, and z"
img_0069.png,a graph showing the slope of a line
img_0070.png,the diagram shows the different types of the same object
img_0071.png,a block diagram of a computer system
img_0072.png,a diagram showing the image and environment
img_0073.png,a diagram showing the different types of triangles
img_0074.png,a triangle with three dots in the center
img_0075.png,a tree diagram with the numbers and letters
img_0076.png,the equation of a function is shown in this diagram
img_0077.png,a line with two points and two lines
img_0078.png,a diagram showing the different types of a line
img_0079.png,a diagram showing the relationship between two objects
img_0080.png,a diagram showing the different types of models
img_0081.png,"a diagram with the words butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter, butter"
img_0082.png,a line drawing of a circle with a cross
img_0083.png,a paper template for a heart shaped box
img_0084.png,a diagram showing the image of a square
img_0085.png,a square with the number of the square in the middle
img_0086.png,"a square with the letters a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v, w, x, y, z, and a"
img_0087.png,two diagrams showing the different types of wires
img_0088.png,a triangle with dots on it
img_0089.png,a diagram of the different types of data processing
img_0090.png,a drawing of a line drawing of a door
img_0091.png,a plot of the probability of the number of particles in a given area
img_0092.png,a bar graph showing the number of micro - vehicles
img_0093.png,a diagram showing the structure of a network
img_0094.png,the symbol for the chemical element o is shown
img_0095.png,a graph with a line that is drawn to show the slope of a curve
img_0096.png,a diagram showing the different types of linear and nonlinear
img_0097.png,two images of the same image with different angles
img_0098.png,two diagrams showing the same structure of a square
img_0099.png,a diagram showing the effect of a line on a plane
img_0100.png,a diagram showing the different stages of image processing
img_0101.png,a diagram showing the different stages of a process
img_0102.png,"a diagram showing the different ways to say foo, bar, and baz"
img_0103.png,a graph with four numbers and two lines
img_0104.png,a plot of the average number of people in a group
img_0105.png,a diagram showing the curve of a curve
img_0106.png,a diagram showing the steps for a training test
img_0107.png,a set of numbers with different numbers
img_0108.png,a diagram showing the flow of the project
img_0109.png,a bar chart showing the number of people who have been diagnosed with shap
img_0110.png,a square with the word image on it
img_0111.png,a page with four squares and a line of numbers
img_0112.png,a diagram showing the motion of a ball and a line
img_0113.png,the four different types of triangles
img_0114.png,a green and white circle with a green square in the center
img_0115.png,a plot of the probability of a curve
img_0116.png,a red circle with the words outer space written on it
img_0117.png,a graph with a tree and a line that shows the number of points
img_0118.png,a diagram showing the trajectory of a plane
img_0119.png,two diagrams showing the same equation
img_0120.png,a diagram showing the different stages of a flow
img_0121.png,a graph showing the different types of data and the different types of data
img_0122.png,a diagram showing the relationship between two lines
img_0123.png,two different types of hexagons and their corresponding numbers
img_0124.png,a line with two dots and two lines
img_0125.png,a diagram of a square with two lines
img_0126.png,a diagram showing the number of numbers in a hexagon
img_0127.png,a diagram showing the four corners of a square
img_0128.png,two plots showing the number of training and evaluation
img_0129.png,three different angles of a triangle
img_0130.png,"a white page with a black text that says, italian language"
img_0131.png,a diagram of a network with two lines
img_0132.png,a diagram showing the different types of functions
img_0133.png,a diagram of a fence with two lines
img_0134.png,a diagram of a line with two different lengths
img_0135.png,a diagram showing the number of triangles in a square
img_0136.png,a diagram showing the different types of circles
img_0137.png,a diagram showing the steps of a task and the steps of a task
img_0138.png,the four lines are shown in the diagram
img_0139.png,a cross stitch pattern with red and blue designs
img_0140.png,a diagram showing the structure of a data structure
img_0141.png,a diagram of a circle with a green dot in the center
img_0142.png,a graph with a triangle and a square
img_0143.png,a diagram of a circle with two arrows pointing to the center
img_0144.png,a diagram with the word image in red
img_0145.png,two diagrams showing the venn diagram of type b and type e
img_0146.png,a graph with a line that is blue and green
img_0147.png,the diagram shows the three different types of v and v
img_0148.png,a diagram showing the values of consumers and consumers
img_0149.png,the diagram shows the different shapes of a triangle
img_0150.png,a diagram showing the relationship between two different types of functions
img_0151.png,a diagram showing the position of a line
img_0152.png,a diagram showing the different types of trees
img_0153.png,a diagram showing the number of circles in each row
img_0154.png,a graph with two lines and two points
img_0155.png,the number of different ways to draw a circle
img_0156.png,a diagram of a square with two squares
img_0157.png,a graph with four lines and two arrows
img_0158.png,a flow diagram for a process
img_0159.png,two diagrams showing the different types of tests
img_0160.png,a graph showing the number of different types of models
img_0161.png,a graph showing the number of positive and negative results
img_0162.png,a diagram showing the different types of a block diagram
img_0163.png,a line drawing of a letter j
img_0164.png,a diagram showing the shape of a curve
img_0165.png,a table with numbers and numbers in different rows
img_0166.png,a red circle with a blue line in the middle
img_0167.png,a graph with different colors and different numbers
img_0168.png,a diagram showing the different types of nodes
img_0169.png,a drawing of a line and a line with a green arrow
img_0170.png,two diagrams showing the number of lines in each
img_0171.png,a diagram showing the relationship between two different equations
img_0172.png,two squares with different colors and one square is green
img_0173.png,a graph showing the number of different colors in each cell
img_0174.png,a diagram showing the number of points in a circle
img_0175.png,a diagram showing the different nodes in a network
img_0176.png,a diagram showing the intersection of two circles
img_0177.png,a grid with four squares and two lines
img_0178.png,a graph showing the price of a stock and the price of a stock
img_0179.png,a diagram of a rectangular box with a square and a rectangle
img_0180.png,"image copyright © 2010 by james watson, phd"
img_0181.png,a plot of a red and blue line with a red and blue line
img_0182.png,a diagram with the words image and the words image
img_0183.png,a diagram showing the different paths of a network
img_0184.png,a diagram showing the number of different types of squares
img_0185.png,a graph showing the time and temperature of a line
img_0186.png,a diagram showing the different types of lines
img_0187.png,a diagram showing the different types of a network
img_0188.png,the diagram shows the different types of chemical reactions
img_0189.png,a diagram showing the different angles of a line
img_0190.png,a graph with a line that is drawn in the middle
img_0191.png,a bar chart showing the percentage of the number of people who have been tested
img_0192.png,a tree with red and green balls
img_0193.png,two different plots of the same function
img_0194.png,a diagram of a three - dimensional structure
img_0195.png,a tree with numbers and numbers in the middle
img_0196.png,a diagram showing the relationship between two numbers
img_0197.png,a diagram showing the steps to make a matrix
img_0198.png,a blue line with a blue curve in the middle
img_0199.png,a stack of four different images with the words image and image
