filename,original,descriptions
img_0000,"Could some one fix this tikz code?
 
 \documentclass[11pt, twosides]{book}
 \usepackage[a4paper, top=.5cm]{geometry}
 \usepackage[myheadings]{fullpage}
 \usepackage{fancyhdr}
 \usepackage{lastpage}
 \usepackage{graphicx, wrapfig, subcaption, setspace}
 \usepackage{mathpazo}
 \usepackage[T1]{fontenc}
 \usepackage[font=small, labelfont=bf]{caption}
 \usepackage[protrusion=true, expansion=true]{microtype}
 \usepackage{sectsty}
 \usepackage{url, lipsum}
 \usepackage{etoolbox}
 \usepackage[explicit]{titlesec}
 \usepackage{epigraph}
 \usepackage{tikz}
 \usepackage{tikzpagenodes}
 \titleformat{\chapter}[display]
 {\normalfont\huge}
 {}
 {20pt}
 {%
 \begin{tikzpicture}[remember picture,overlay]
 \fill[top color=green, bottom color=blue] 
 (16,-23) rectangle (18.5,7);
 \node[
 anchor= east,
 xshift=1cm,
 text width=\textwidth] 
 at ([yshift=5pt]titlerect.east) {\fontsize{30}{36}\sffamily\selectfont#1};
 \node[
 anchor= east,
 inner xsep=3cm,
 outer sep=0pt,
 font=\color{blue}]%,
 at ([yshift=.5cm]current page.east|-titlerect.east)
 {\fontsize{80}{86}\bfseries\thechapter};
 \node[
 anchor= east,
 xshift=11.5cm,
 yshift=-11cm,
 text width=\textwidth] 
 at ([yshift=5pt]titlerect.east) {\fontsize{30}{36}\scshape\selectfont\rotatebox{90}{\color{white}#1}};
 \end{tikzpicture}%
 }
 \titleformat{name=\chapter,numberless}[display]
 {\normalfont\huge}
 {}
 {20pt}
 {%
 \begin{tikzpicture}[remember picture,overlay]
 \fill[top color=green, bottom color=blue] 
 (16,-25) rectangle (18.5,7);
 \node[
 anchor=west,
 rectangle,
 minimum height=4cm,
 text width=\paperwidth,
 xshift=-\the\dimexpr\oddsidemargin+1in\relax,
 outer sep=0pt] (titlerect) {};
 \node[
 anchor=south west,
 xshift=6cm,
 yshift=2cm,
 text width=\textwidth] 
 at (titlerect.south west) {\sffamily\Huge#1};
 \node[
 anchor= east,
 xshift=11.5cm,
 yshift=-11cm,
 text width=\textwidth] 
 at ([yshift=5pt]titlerect.east) {\fontsize{30}{36}\scshape\selectfont\rotatebox{90}{\color{white}#1}};
 \end{tikzpicture}%
 }[]
 \titlespacing*{\chapter}
 {0pt}{-20pt}{60pt}
 \titlespacing*{\chapter}
 {0pt}{-20pt}{60pt}
 \titleformat{\section}[display] 
 {\bfseries\normalsize}
 {}
 {5pt}
 {\color{blue}\thesection~~ #1}
 \titleformat{name=\section, numberless}[display]
 {\bfseries\normalsize}
 {}
 {5pt}
 {#1}
 
 \titleformat{\subsection}[display]
 {\itshape\normalsize}
 {}
 {5pt}
 {\color{blue}\thesection~~ #1}
 
 \fancypagestyle{plain}
 {
 \fancyhf{}
 \fancyfoot{}
 \renewcommand{\headrulewidth}{0 mm}
 }
 
 \title{Title}
 \author{Author}
 \date{}
 \textwidth=13cm
 \begin{document}
 
 \maketitle
 
 \chapter{Random}
 
 \section{Lipsum}
 
 \lipsum[2]
 
 \subsection{Subsection}
 
 \lipsum[1]
 \end{document}","A sample layout from a text document, including a headline, section and a sidebar. The page title ""Random"" is centered at the top of the page. The main content includes two sections ""1.1 Ipsum"" and ""1.2 Subsection"", each written in the font color blue. A green sidebar, which transitions to blue, contains the word ""RANDOM"" vertically. This design showcases document formatting with decorative sidebars."
img_0001,"(Left) The polytope $P_A$ for Example \ref{ex:blob}\\(Right) The completable region and curves defined by {\color{black!60!red}$f(u,v) = 0$} and {\color{black!30!blue}$g(u,v) = 0$}","The figure shows a geometric figure of a triangle with labeled vertices. The triangle is formed by connecting three black dots labeled 1, 2 and 3 with undirected black lines. Inside the triangle there are two additional black dots labeled 4 and 5 positioned along the vertical axis."
img_0002,The domain $\Omega$ with boundary conditions.,"A rectangle with black horizontal sides labeled $\Gamma_{N,d}$, a red left vertical side labeled $\Gamma_{\text{inflow}}$ and a blue right vertical side labeled $\Gamma_0$. Inside the rectangle on the left side, there are two points $x_1$ (blue) and $x_2$ (purple), which are connected by green lines forming a circle labeled $\partial \mathcal{B}$."
img_0003,"2 axes scaling problem
 
 I have two problems :
 the arrow on x axis.
 The left y axis does't match all the hight as the right does.
 I want on the left axe ymin=0 ymax=25 and the ticks lines in front of the tick lines of the right's one.
 I tried with ymin, ymax, and max space between ticks, but nothing good.
 
 \begin{tikzpicture}
 
 % let both axes use the same layers
 \pgfplotsset{set layers}
 
 \begin{axis}[%
 scale only axis=true,
 ybar, bar width=10pt, 
 ymin=0,ymax=100,
 enlargelimits=0.05,
 %axis x line=box,
 axis y line=right,
 symbolic x coords=%
 {Janvier,Février,Mars,Avril,Mai,Juin,Juillet,
 Août,Septembre,Octobre,Novembre,Décembre},
 xtick=data,
 x tick label style={rotate=60,anchor=east},
 legend style={at={(0.1,0.85)}, anchor=south west,legend columns=-1},
 %nodes near coords,
 %nodes near coords align={vertical},
 ]
 
 
 \addplot[style={draw=yellow!80!black,fill=yellow!40!white}] coordinates {%
 (Janvier,85)
 (Février,75)
 (Mars,60)
 (Avril,59)
 (Mai,62)
 (Juin,42)
 (Juillet,48)
 (Août,41)
 (Septembre,69)
 (Octobre,80)
 (Novembre,81)
 (Décembre,91)
 } ;
 
 \legend{Précipitations} ;
 \end{axis}
 
 
 %\end{tikzpicture}
 
 %\begin{tikzpicture}
 \begin{axis}[
 scale only axis = true,
 ymin=0,
 max space between ticks=28,
 axis y line=left,
 enlargelimits=0.05,
 axis x line=none,
 symbolic x coords=%
 {Janvier,Février,Mars,Avril,Mai,Juin,Juillet,
 Août,Septembre,Octobre,Novembre,Décembre},
 legend style={at={(0.1,.93)}, anchor=south west,legend columns=-1},
 ]
 
 \addplot[red,mark=*] coordinates {%
 (Janvier,9)
 (Février,10)
 (Mars,13)
 (Avril,15)
 (Mai,18)
 (Juin,22)
 (Juillet,24.5)
 (Août,25)
 (Septembre,22.5)
 (Octobre,18)
 (Novembre,13)
 (Décembre,10.5) 
 } ;
 
 \addplot[blue,mark=*] coordinates {%
 (Janvier,3)
 (Février,3.5)
 (Mars,4.5)
 (Avril,6.5)
 (Mai,9.5)
 (Juin,12)
 (Juillet,14)
 (Août,14)
 (Septembre,12)
 (Octobre,9)
 (Novembre,6)
 (Décembre,4) 
 } ;
 
 \legend{Max,Min} ;
 
 \end{axis}
 \end{tikzpicture}","Line and Bar chart showing monthly data for three variables: max (red line), min (blue line) and precipitation (yellow bars). The months are labeled in French along the x-axis. The left y-axis ranges from 0-25 and the right y-axis ranges from 0-100. The curves peak during the summer months (June to August) when precipitation is at its lowest. In contrast, precipitation is highest during the winter months (October to January) when the curves are at their lowest."
img_0004,"The lower bound set $\mathcal{L}(\eta)$, depicted by the solid line, is partially dominated by the upper bound set $\mathcal{U}$, represented by the crosses. In this situation, it is possible to split the problem into three disjoint sub-problems in the objective space. Each sub-problem is highlighted by the hatched areas, and its corresponding super local upper bound is depicted by its closest large circle.","A coordinate grid with both axis ranging from 0 to 15. In the top right corner, a legend explains the notation, the plus signs represent $\mathcal{U}$, the black squares $\mathcal{N}(\mathcal{U})$ and the solid black line $\mathcal{L}(\eta)$. The line starts at x = 1.5 and y = 15 and descends vertical to y = 12. From there it goes diagonal down to x = 5.5 and y = 5.5 and continues to go to x = 12 and y = 1, where it extends horizontally to x = 15. Black squares are placed at the coordinates (4,11), (5,9), (6,7), (7,4), (10,3) and (15, 2). The last two coordinates are also highlighted with circles. At (6,11) there is another point highlighted with a circle. The area beneath the curve is shaded in gray and the area between the curve and the black squares is shaded is shaded with black diagonal lines."
img_0005,At an angle point.,An Illustration of two black lines starting from the same point and forming an angle. One line extends horizontally to the right and is labeled $S_1$ at its end. The other extends upwards at an angle from the same point and is labeled $S_3$ at the end. The common starting point of both lines is labeled $S_2$.
img_0006,Two dessins with monodromy group ${\rm M}_{12}$. The field of moduli for both of them is $\mathbb{Q}(\!\sqrt{-11})$.,"Two geometric designs, that look like stick figures. Each figure has a circle for a head and a vertical line for the body and black dots are placed at each vertex. The figure to the left extends a line horizontally from the vertical line, while the figure on the rights extends to horizontally lines. At the end of the vertical line, both figures extend 2 diagonally downward lines."
img_0007,Translation performance on different instruction scales.,"Line chart showing BLEU scores with different instruction scales for three translation pairs: Zh-En (Chinese-English) , De-En (German-English) and Fr-En (French-English). Zh-En is represented by a blue line, De-En by a red line and Fr-En by a brown line. As the instruction scale increases, BLEU scores improve for all pairs, with De-En and Fr-En maintaining higher performance levels compared to Zh-En."
img_0008,"The original graph $\Gamma$ (left); the ``doubled graph'' $\Gamma_2$ (centre); an Eulerian cycle $C$ (right), which forms a closed cycle in $\Gamma_2$, traversing every edge exactly once.","A sequence of three graphs labeled $\Gamma$, $\Gamma_2$ and C arranged from left to right. The left graph has a Y-shape and is formed by three straight edges meeting at a single central node. In the middle graph each edge of these straight edges is replaced by a curved loop that extends from the central point out to the edge and returns. The right graph adds arrows to each od the loops. The central node is has been remove and the loops now connect directly to each other."
img_0009,A set $\sigma \in PW^+$ inside a rectangle $R$. The blue region $R \setminus (\sigma \cup \partial R)$ can always be triangulated.,"A blue rectangle labeled R in the top-left corner. Inside the rectangle, there are two black geometric figures. At the lower-left side, is a layered square pattern composed of three squares, a small black square at the center, surrounded by a blue square matching the background color of the rectangle, surrounded by a larger black square. Diagonally toward the upper-right is an irregular black polygon labeled $\sigma$. Inside the polygon two shapes have the black background color, one is hexagonal and the other is diamond shaped."
