Sample,Caption,LaTeX_Document
1,"A sample layout from a text document, including a headline, section and a sidebar. The page title ""Random"" is centered at the top of the page. The main content includes two sections ""1.1 Ipsum"" and ""1.2 Subsection"", each written in the font color blue.  A green sidebar, which  transitions to blue, contains the word ""RANDOM"" vertically.  This design showcases document formatting with decorative sidebars.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}[remember picture, overlay]
    % Page Title
    \node[anchor=north, font=\huge\bfseries] at (current page.north) {Random};

    % Main Content
    \node[anchor=north west, font=\Large, text=blue] at (2, -1) {1.1 Ipsum};
    \node[anchor=north west, font=\large, text=blue] at (2, -2) {1.2 Subsection};

    % Sidebar
    \fill[green] (0, 0) rectangle (1, -5);
    \fill[blue] (0, -5) rectangle (1, -6);
    \node[anchor=center, rotate=90, font=\Huge\bfseries, text=white] at (0.5, -3) {RANDOM};
\end{tikzpicture}
    \end{document}"
2,"The figure shows a geometric figure of a triangle with labeled vertices. The triangle is formed by connecting three black dots labeled 1, 2 and 3 with undirected black lines. Inside the triangle there are two additional black dots labeled 4 and 5 positioned along the vertical axis.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Draw the triangle
    \draw[black] (0,0) node[circle, fill=black, inner sep=2pt, label=below left:1] {} -- 
                  (4,0) node[circle, fill=black, inner sep=2pt, label=below right:2] {} -- 
                  (2,3) node[circle, fill=black, inner sep=2pt, label=above:3] -- cycle;
    
    % Draw the additional points
    \node[circle, fill=black, inner sep=2pt, label=left:4] at (2,1) {};
    \node[circle, fill=black, inner sep=2pt, label=right:5] at (2,2) {};
\end{tikzpicture}
    \end{document}"
3,"A rectangle with black horizontal sides labeled $\Gamma_{N,d}$, a red left vertical side labeled $\Gamma_{\text{inflow}}$ and a blue right vertical side labeled $\Gamma_0$. Inside the rectangle on the left side, there are two points $x_1$ (blue) and $x_2$ (purple), which are connected by green lines forming a circle labeled $\partial \mathcal{B}$.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Draw the rectangle
    \draw[black, thick] (0, 0) rectangle (4, 3);
    
    % Label the sides
    \node at (2, 3.2) {$\Gamma_{N,d}$};
    \node[red] at (-0.2, 1.5) {$\Gamma_{\text{inflow}}$};
    \node[blue] at (4.2, 1.5) {$\Gamma_0$};
    
    % Draw the points
    \fill[blue] (0.5, 1) circle (2pt);
    \fill[purple] (0.5, 2) circle (2pt);
    
    % Label the points
    \node[blue] at (0.5, 0.8) {$x_1$};
    \node[purple] at (0.5, 2.2) {$x_2$};
    
    % Draw the circle
    \draw[green] (0.5, 1) arc[start angle=270, end angle=450, radius=1];
    
    % Label the circle
    \node at (0.5, 1.5) {$\partial \mathcal{B}$};
\end{tikzpicture}
    \end{document}"
4,"Line and Bar chart showing monthly data for three variables: max (red line), min (blue line) and precipitation (yellow bars). The months are labeled in French along the x-axis. The left y-axis ranges from 0-25 and the right y-axis ranges from 0-100. The curves peak during the summer months (June to August) when precipitation is at its lowest. In contrast, precipitation is highest during the winter months (October to January) when the curves are at their lowest.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \begin{axis}[
        width=15cm,
        height=10cm,
        xlabel={Mois},
        ylabel={Température (°C)},
        ylabel near ticks,
        ytick={0,5,10,15,20,25},
        yticklabel style={color=red},
        ymajorgrids=true,
        grid style=dashed,
        xmin=0, xmax=12,
        xtick={0,1,...,12},
        xticklabels={Janv, Fév, Mars, Avr, Mai, Juin, Juil, Août, Sept, Oct, Nov, Déc},
        legend style={at={(1,1.05)}, anchor=south east},
        axis y line*=left,
        axis x line=middle,
        every axis x label/.style={at={(axis description cs:0.5,-0.1)}, anchor=north},
        every axis y label/.style={at={(axis description cs:-0.1,0.5)}, anchor=south},
        ]
        
        % Max line
        \addplot[color=red, thick] coordinates {(0,5) (1,6) (2,10) (3,15) (4,20) (5,25) (6,25) (7,24) (8,20) (9,15) (10,10) (11,5)};
        \addlegendentry{Max (°C)}

        % Min line
        \addplot[color=blue, thick] coordinates {(0,0) (1,1) (2,5) (3,10) (4,15) (5,20) (6,20) (7,19) (8,15) (9,10) (10,5) (11,0)};
        \addlegendentry{Min (°C)}

        % Precipitation bars
        \begin{scope}[yshift=0cm]
            \addplot[ybar, yellow, fill=yellow, opacity=0.5] coordinates {(0,20) (1,15) (2,10) (3,5) (4,3) (5,1) (6,0) (7,0) (8,2) (9,10) (10,20) (11,25)};
            \addlegendentry{Précipitation (mm)}
        \end{scope}
        
    \end{axis}
    
    \begin{axis}[
        axis y line*=right,
        ylabel={Précipitation (mm)},
        ytick={0,20,40,60,80,100},
        yticklabel style={color=yellow},
        ymin=0, ymax=100,
        ymajorgrids=false,
        axis x line=none,
        ]
    \end{axis}
\end{tikzpicture}
    \end{document}"
5,"A coordinate grid with both axis ranging from 0 to 15. In the top right corner, a legend explains the notation, the plus signs represent $\mathcal{U}$, the black squares $\mathcal{N}(\mathcal{U})$ and the solid black line $\mathcal{L}(\eta)$. The line starts at x = 1.5 and y = 15 and descends vertical to y = 12. From there it goes diagonal down to x = 5.5 and y = 5.5 and continues to go to x = 12 and y = 1, where it extends horizontally to x = 15. Black squares are placed at the coordinates (4,11), (5,9), (6,7), (7,4), (10,3) and (15, 2). The last two coordinates are also highlighted with circles. At (6,11) there is another point highlighted with a circle. The area beneath the curve is shaded in gray and the area between the curve and the black squares is shaded is shaded with black diagonal lines.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}[scale=0.5]
    % Draw the grid
    \draw[very thin, gray] (0,0) grid (15,15);
    \foreach \x in {0,1,...,15} \draw (\x,0) -- (\x,-0.5) node[below] {\x};
    \foreach \y in {0,1,...,15} \draw (0,\y) -- (-0.5,\y) node[left] {\y};

    % Draw the line
    \draw[thick] (1.5,15) -- (1.5,12) -- (5.5,5.5) -- (12,1) -- (15,1);

    % Draw the black squares
    \fill[black] (4,11) rectangle (5,12);
    \fill[black] (5,9) rectangle (6,10);
    \fill[black] (6,7) rectangle (7,8);
    \fill[black] (7,4) rectangle (8,5);
    \fill[black] (10,3) rectangle (11,4);
    \fill[black] (15,2) rectangle (16,3);

    % Highlight the last two coordinates with circles
    \draw[red, thick] (10.5,3.5) circle (0.5);
    \draw[red, thick] (15.5,2.5) circle (0.5);

    % Highlight the point at (6,11) with a circle
    \draw[red, thick] (6,11) circle (0.5);

    % Shade the area beneath the curve
    \fill[gray, opacity=0.5] (1.5,15) -- (1.5,12) -- (5.5,5.5) -- (12,1) -- (15,1) -- (15,0) -- (0,0) -- (0,15) -- cycle;

    % Shade the area between the curve and the black squares
    \begin{scope}
        \clip (1.5,15) -- (1.5,12) -- (5.5,5.5) -- (12,1) -- (15,1) -- (15,0) -- (0,0) -- (0,15) -- cycle;
        \fill[black] (4,11) rectangle (5,12);
        \fill[black] (5,9) rectangle (6,10);
        \fill[black] (6,7) rectangle (7,8);
        \fill[black] (7,4) rectangle (8,5);
        \fill[black] (10,3) rectangle (11,4);
        \fill[black] (15,2) rectangle (16,3);
    \end{scope}

    % Draw the legend
    \draw[thick] (13,12) rectangle (15,14);
    \node at (14,13) {$\mathcal{N}(\mathcal{U})$};
    \draw[plus, thick] (13,10) -- (14,11) -- (13,11) -- (14,10) -- cycle;
    \node at (14,10.5) {$\mathcal{U}$};
    \draw[thick] (13,8) -- (15,8);
    \node at (14,8.5) {$\mathcal{L}(\eta)$};
\end{tikzpicture}
    \end{document}"
6,An Illustration of two black lines starting from the same point and forming an angle. One line extends horizontally to the right and is labeled $S_1$ at its end. The other extends upwards at an angle from the same point and is labeled $S_3$ at the end. The common starting point of both lines is labeled $S_2$.,"\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \draw[black, thick] (0, 0) -- (3, 0) node[right] {$S_1$};
    \draw[black, thick] (0, 0) -- (1.5, 2.5) node[above right] {$S_3$};
    \node at (0, 0) [below left] {$S_2$};
\end{tikzpicture}
    \end{document}"
7,"Two geometric designs, that look like stick figures. Each figure has a circle for a head and a vertical line for the body and black dots are placed at each vertex. The figure to the left extends a line horizontally from the vertical line, while the figure on the rights extends to horizontally lines. At the end of the vertical line, both figures extend 2 diagonally downward lines.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Left figure
    \draw[fill=black] (0,2) circle (0.1); % head
    \draw[fill=black] (0,1) circle (0.1); % body
    \draw[fill=black] (0,0) circle (0.1); % bottom
    \draw[thick] (0,1) -- (0,0); % body
    \draw[thick] (0,1) -- (-1,1); % left arm
    \draw[thick] (0,0) -- (-0.5,-1); % left leg
    \draw[thick] (0,0) -- (0.5,-1); % right leg
    \draw[fill=black] (-1,1) circle (0.1); % left arm dot
    \draw[fill=black] (-0.5,-1) circle (0.1); % left leg dot
    \draw[fill=black] (0.5,-1) circle (0.1); % right leg dot

    % Right figure
    \draw[fill=black] (3,2) circle (0.1); % head
    \draw[fill=black] (3,1) circle (0.1); % body
    \draw[fill=black] (3,0) circle (0.1); % bottom
    \draw[thick] (3,1) -- (3,0); % body
    \draw[thick] (3,1) -- (2,1); % left arm
    \draw[thick] (3,1) -- (4,1); % right arm
    \draw[thick] (3,0) -- (2.5,-1); % left leg
    \draw[thick] (3,0) -- (3.5,-1); % right leg
    \draw[fill=black] (2,1) circle (0.1); % left arm dot
    \draw[fill=black] (4,1) circle (0.1); % right arm dot
    \draw[fill=black] (2.5,-1) circle (0.1); % left leg dot
    \draw[fill=black] (3.5,-1) circle (0.1); % right leg dot
\end{tikzpicture}
    \end{document}"
8,"Line chart showing BLEU scores with different instruction scales for three translation pairs: Zh-En (Chinese-English) , De-En (German-English) and Fr-En (French-English). Zh-En is represented by a blue line, De-En by a red line and Fr-En by a brown line. As the instruction scale increases, BLEU scores improve for all pairs, with De-En and Fr-En maintaining higher performance levels compared to Zh-En.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
\begin{axis}[
    title={BLEU Scores vs Instruction Scale},
    xlabel={Instruction Scale},
    ylabel={BLEU Score},
    legend pos=outer north east,
    grid=major,
    xtick={1,2,3,4,5},
    ytick={0,20,40,60,80,100},
    ymin=0, ymax=100,
    xmin=1, xmax=5,
    domain=1:5,
    cycle list={blue, red, brown}
]
\addplot coordinates {(1,30)(2,40)(3,50)(4,60)(5,70)}; % Zh-En
\addplot coordinates {(1,50)(2,60)(3,70)(4,80)(5,90)}; % De-En
\addplot coordinates {(1,40)(2,55)(3,65)(4,75)(5,85)}; % Fr-En
\legend{Zh-En, De-En, Fr-En}
\end{axis}
\end{tikzpicture}
    \end{document}"
9,"A sequence of three graphs labeled $\Gamma$, $\Gamma_2$ and C arranged from left to right. The left graph has a Y-shape and is formed by three straight edges meeting at a single central node. In the middle graph each edge of these straight edges is replaced by a curved loop that extends from the central point out to the edge and returns. The right graph adds arrows to each od the loops. The central node is has been remove and the loops now connect directly to each other. ","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Left graph (Y-shape)
    \begin{scope}
        \draw[thick] (0,0) -- (0,2);
        \draw[thick] (0,0) -- (-1,1);
        \draw[thick] (0,0) -- (1,1);
        \node at (0,-0.3) {$\Gamma$};
    \end{scope}
    
    \hspace{2cm} % Space between graphs
    
    % Middle graph (curved loops)
    \begin{scope}
        \draw[thick,->] (0,0) .. controls (-0.5,1) and (-0.5,1) .. (0,2);
        \draw[thick,->] (0,0) .. controls (0.5,1) and (0.5,1) .. (0,2);
        \draw[thick,->] (0,0) .. controls (0,1) and (0,1) .. (-1,2);
        \node at (0,-0.3) {$\Gamma_2$};
    \end{scope}
    
    \hspace{2cm} % Space between graphs
    
    % Right graph (loops with arrows)
    \begin{scope}
        \draw[thick,->] (0,2) .. controls (0.5,1) and (0.5,1) .. (0,0);
        \draw[thick,->] (0,2) .. controls (-0.5,1) and (-0.5,1) .. (0,0);
        \draw[thick,->] (0,0) .. controls (0,1) and (0,1) .. (1,2);
        \node at (0,-0.3) {C};
    \end{scope}
\end{tikzpicture}
    \end{document}"
10,"A blue  rectangle labeled R in the top-left corner. Inside the rectangle, there are two black geometric figures. At the lower-left side, is a layered square pattern composed of three squares, a small black square at the center, surrounded by a blue square matching the background color of the rectangle, surrounded by a larger black square. Diagonally toward the upper-right is an irregular black polygon labeled $\sigma$.  Inside the polygon two shapes have the black background color, one is hexagonal and the other is diamond shaped.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Draw the blue rectangle R
    \fill[blue] (0,0) rectangle (4,3);
    \node[anchor=north west, white] at (0,3) {R};

    % Draw the layered square pattern
    \fill[black] (1.5,1.5) rectangle (2.5,2.5); % small black square
    \fill[blue] (1,1) rectangle (3,3); % blue square
    \fill[black] (0.5,0.5) rectangle (3.5,3.5); % larger black square

    % Draw the irregular polygon sigma
    \fill[black] (2.5,2) -- (3.5,2.5) -- (3,3) -- (2,2.5) -- cycle; % irregular polygon
    \node at (2.8,2.3) {$\sigma$};

    % Draw the hexagonal shape inside the polygon
    \fill[black] (2.6,2.1) -- (2.8,2.4) -- (3.1,2.4) -- (3.3,2.1) -- (3.1,1.8) -- (2.8,1.8) -- cycle;

    % Draw the diamond shape inside the polygon
    \fill[black] (2.2,2.2) -- (2.4,2.4) -- (2.6,2.2) -- (2.4,2) -- cycle;
\end{tikzpicture}
    \end{document}"
