Sample,Caption,LaTeX_Document
1,"The image is a rectangular document with a structured layout featuring multiple sections of text and a gradient background. The background transitions from green on the top left to blue on the bottom right, creating a diagonal gradient effect.

At the top center of the document, the word ""Random"" is prominently displayed in a large, bold font, centered horizontally and vertically within the page. Below this title, there are two main sections labeled as ""1.2. Lipsum"" and ""1.3. Subsection,"" each containing placeholder text (Lorem ipsum) commonly used for design mockups or drafts.

Each section begins with a subheading in a smaller font size than the main title but larger than the body text. The body text is justified, meaning both the left and right margins are aligned, creating a neat appearance. The text appears to be in a serif font, adding a formal touch to the document's style.

On the far right side of the document, there is a vertical strip that transitions from green at the top to blue at the bottom, mirroring the color gradient of the background. This strip has the word ""RANDOM"" written vertically along its length in white capital letters, with each letter stacked one above the other.

The overall design suggests a template or draft for a document, possibly for educational or professional purposes, given the structured format and use of placeholder text.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}[scale=0.8]
    % Background Gradient
    \fill[bottom color=blue, top color=green] (0, 0) rectangle (10, 7);
    
    % Vertical Strip
    \fill[bottom color=blue, top color=green] (9.5, 0) rectangle (10, 7);
    
    % Title
    \node[align=center, font=\bfseries\Huge] at (5, 6) {Random};
    
    % Section 1.2
    \node[align=left, font=\large\bfseries] at (2, 4.5) {1.2. Lipsum};
    \node[align=justify, font=\sffamily] at (2, 3.5) {Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.};
    
    % Section 1.3
    \node[align=left, font=\large\bfseries] at (2, 2) {1.3. Subsection};
    \node[align=justify, font=\sffamily] at (2, 1) {Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.};
    
    % Vertical Text
    \node[align=center, font=\bfseries\Large, text=white, rotate=90] at (9.75, 3.5) {R\\A\\N\\D\\O\\M};
\end{tikzpicture}
    \end{document}"
2,"The image depicts a geometric figure consisting of three vertices connected by straight lines to form a triangle. The vertices are labeled with numbers: 1 at the top left, 2 at the bottom right, and 3 at the top right. Inside the triangle, there are two additional points labeled 4 and 5, positioned closer to vertex 2. The points are marked with small black dots. The lines connecting the vertices are solid and black, forming the perimeter of the triangle. There are no arrows or colors used in the image; it is entirely monochromatic with black lines and dots on a white background.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Draw triangle
    \draw[black] (0,2) node[above left] {1} -- (2,0) node[below right] {2} -- (2,2) node[above right] {3} -- cycle;
    
    % Draw inner points
    \fill (1.5,0.5) circle (2pt) node[below] {4};
    \fill (1.5,1.5) circle (2pt) node[above] {5};
\end{tikzpicture}
    \end{document}"
3,"The image depicts a rectangular domain with labeled boundaries. The rectangle is outlined in black, and its dimensions are indicated by the labels at the top and bottom edges: ""Γ_{N,\partial}"" on both the top and bottom sides. On the left side of the rectangle, there is a red vertical line segment labeled ""Γ_inflow,"" and on the right side, there is a blue vertical line segment labeled ""Γ_out."" 

Inside the rectangle, near the center-left, there is a small circular region with a cyan border and a darker cyan interior. This circle is labeled ""∂B"" in cyan text. Within this circle, two points are marked: one labeled ""x1"" in red and the other labeled ""x2"" in red. An arrow pointing from ""x1"" to ""x2"" is drawn within the circle, indicating a direction or flow.

The overall layout suggests a mathematical or physical model, possibly related to fluid dynamics or boundary conditions, where the rectangle represents a domain, the lines represent boundaries, and the circle with points and an arrow indicates a specific region of interest within that domain.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Draw the rectangle
    \draw[black, thick] (0, 0) rectangle (4, 2);
    
    % Label the top and bottom sides
    \node at (2, 2.1) {\textbf{$\Gamma_{N,\partial}$}};
    \node at (2, -0.1) {\textbf{$\Gamma_{N,\partial}$}};
    
    % Draw the inflow and outflow boundaries
    \draw[red, thick] (0, 0) -- (0, 2);
    \node[red] at (-0.5, 1) {\textbf{$\Gamma_{inflow}$}};
    
    \draw[blue, thick] (4, 0) -- (4, 2);
    \node[blue] at (4.5, 1) {\textbf{$\Gamma_{out}$}};
    
    % Draw the circle
    \draw[cyan, thick] (2, 1) circle (0.5);
    \fill[cyan!30] (2, 1) circle (0.5);
    \node[cyan] at (2, 1) {\textbf{$\partial B$}};
    
    % Mark points x1 and x2
    \fill[red] (1.8, 1) circle (2pt);
    \node[red] at (1.8, 1.1) {\textbf{$x_1$}};
    
    \fill[red] (2.2, 1) circle (2pt);
    \node[red] at (2.2, 1.1) {\textbf{$x_2$}};
    
    % Draw the arrow from x1 to x2
    \draw[red,->, thick] (1.8, 1) -- (2.2, 1);
\end{tikzpicture}
    \end{document}"
4,"The image is a combined line and bar chart illustrating monthly precipitation data alongside maximum and minimum temperature trends over a year. The x-axis represents the months from January to December, while the y-axis on the left measures temperature in degrees Celsius, with two lines representing the maximum (red) and minimum (blue) temperatures. The y-axis on the right measures precipitation in millimeters, represented by yellow bars.

The red line for maximum temperatures starts at approximately 9°C in January, rises steadily to around 25°C in August, then decreases to about 10°C by December. The blue line for minimum temperatures begins at roughly 3°C in January, increases to about 6°C in July, and drops back to around 4°C by December.

The yellow bars for precipitation show variability throughout the year, starting at about 80 mm in January, decreasing slightly to around 70 mm in February, and reaching a peak of nearly 100 mm in December. The chart includes a legend in the top-left corner that distinguishes between the temperature lines and the precipitation bars. The title or source of the chart is not visible within the image.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \begin{axis}[
        width=15cm,
        height=8cm,
        xlabel={Months},
        ylabel={Temperature (°C)},
        ylabel near ticks,
        ymajorgrids=true,
        ymin=0, ymax=30,
        xtick={1,2,...,12},
        xticklabels={Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec},
        ytick={0,5,...,30},
        yticklabel pos=left,
        legend style={at={(0.5,-0.15)}, anchor=north, legend columns=3},
        extra y ticks={0, 20, 40},
        extra y tick labels={,,},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,5,...,30},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={at={(1,0.5)}},
        ytick={0,20,...,100},
        yticklabel style={text width=0.5cm, align=center},
        yaxis line style={->},
        axis y line left,
        axis y line right,
        ylabel near ticks,
        ylabel style={
\end{tikzpicture}
    \end{document}"
5,"The image is a graph with a Cartesian coordinate system, featuring a grid of light gray lines to indicate the x and y axes. The x-axis ranges from 0 to 15, while the y-axis ranges from 0 to 15. There are three distinct elements in the graph:

1. **Data Points**: 
   - A series of black squares (filled squares) are plotted at various points on the graph. These represent the set \(\mathcal{N}(\mathcal{U})\).
   - A single black square is also plotted at the origin (0,0), which is not part of the sequence but rather a starting point.
   - Another black square is marked with a plus sign (+), indicating an element of \(\mathcal{U}\).

2. **Curved Line**:
   - A smooth, curved line is drawn connecting the black squares that represent \(\mathcal{N}(\mathcal{U})\). This line is labeled as \(\mathcal{L}(\eta)\).

3. **Shaded Regions**:
   - Two shaded regions are present in the graph. One is a large, light gray area extending from the origin to the point (6,7) and another smaller, darker gray area extending from the point (10,2) to the right edge of the graph.

4. **Legend**:
   - In the top-right corner, there is a legend box with three entries:
     - A plus sign (+) next to the label \(\mathcal{U}\).
     - A filled square next to the label \(\mathcal{N}(\mathcal{U})\).
     - A solid line next to the label \(\mathcal{L}(\eta)\).

5. **Axes Labels**:
   - The x-axis is labeled ""0"" at the bottom left and ""15"" at the bottom right.
   - The y-axis is labeled ""0"" at the bottom and ""15"" at the top.

6. **Arrows**:
   - Small arrows are present at the ends of the x-axis and y-axis, indicating the direction of increasing values.

The overall color scheme includes black for the data points and line, light gray for the grid, and dark gray for the shaded regions. The legend helps to distinguish between the different elements represented in the graph.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}[scale=0.8]
    % Grid
    \draw[lightgray, very thin] (0,0) grid (15,15);
    \foreach \x in {0,1,...,15} \draw[lightgray] (\x,0) -- (\x,15);
    \foreach \y in {0,1,...,15} \draw[lightgray] (0,\y) -- (15,\y);
    
    % Axes
    \draw[->] (0,0) -- (15,0) node[below right] {15};
    \draw[->] (0,0) -- (0,15) node[above left] {15};
    \node[below left] at (0,0) {0};
    
    % Data points
    \fill[black] (0,0) rectangle (0.5,0.5);
    \fill[black] (2,3) rectangle (1.5,3.5);
    \fill[black] (4,5) rectangle (3.5,5.5);
    \fill[black] (6,7) rectangle (5.5,7.5);
    \fill[black] (10,2) rectangle (9.5,2.5);
    \fill[black] (12,4) rectangle (11.5,4.5);
    \fill[black] (14,6) rectangle (13.5,6.5);
    \fill[black] (8,8) rectangle (7.5,8.5);
    \fill[black] (10,10) rectangle (9.5,10.5);
    
    % Plus sign for \mathcal{U}
    \fill[black] (6,7) rectangle (5.5,7.5);
    \node at (6,7) {+};
    
    % Curved line
    \draw[black, thick, smooth] plot coordinates {(2,3) (4,5) (6,7) (8,8) (10,10)};
    \node[above right] at (8,8) {$\mathcal{L}(\eta)$};
    
    % Shaded regions
    \fill[lightgray] (0,0) rectangle (6,7);
    \fill[darkgray] (10,2) rectangle (15,15);
    
    % Legend
    \draw[fill=white] (12,12) rectangle (14,14);
    \node at (13,13) {$\mathcal{U}$};
    \node at (12.5,12.5) {+};
    \node at (13,12) {$\mathcal{N}(\mathcal{U})$};
    \fill[black] (12,12.5) rectangle (12.5,13);
    \node at (13,11.5) {$\mathcal{L}(\eta)$};
    \draw[black, thick] (12,11) -- (12.5,11);
    
    % Axes labels
    \node[below right] at (15,0) {15};
    \node[above left] at (0,15) {15};
\end{tikzpicture}
    \end{document}"
6,"The image depicts a simple geometric figure consisting of three labeled points forming a triangle. The points are labeled as \( S_1 \), \( S_2 \), and \( S_3 \) in a clockwise manner starting from the bottom left corner. 

- Point \( S_1 \) is located at the bottom right.
- Point \( S_2 \) is positioned at the bottom left.
- Point \( S_3 \) is situated at the top right.

The lines connecting these points form the sides of the triangle:
- A straight line connects \( S_2 \) to \( S_3 \).
- Another straight line connects \( S_3 \) to \( S_1 \).
- A third straight line connects \( S_1 \) back to \( S_2 \).

There are no arrows or additional markings on the lines or points, and the entire figure is drawn in black against a white background.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \draw[black] (0,0) node[below left] {$S_2$} -- (2,0) node[below right] {$S_1$} -- (1,2) node[above] {$S_3$} -- cycle;
\end{tikzpicture}
    \end{document}"
7,"The image consists of two separate diagrams, each depicting a simple network or graph structure. Both diagrams feature a central circle connected to other nodes by lines.

In the first diagram on the left:
- A large circle is at the top.
- Below the large circle, there is a smaller circle connected to it by a vertical line.
- From the smaller circle, two horizontal lines extend outward, connecting to two additional circles at the bottom.
- The connections between the nodes are represented by straight black lines.
- There are no labels, arrows, or colors used in the diagram.

In the second diagram on the right:
- It mirrors the first diagram with a large circle at the top.
- Below the large circle, there is a smaller circle connected to it by a vertical line.
- From the smaller circle, three horizontal lines extend outward, connecting to three additional circles at the bottom.
- Similar to the first diagram, the connections are represented by straight black lines.
- Again, there are no labels, arrows, or colors used in the diagram.

Both diagrams are identical in structure but differ only in the number of connections from the smaller circle at the bottom.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % First Diagram
    \begin{scope}[shift={(0,0)}]
        \draw (0,2) circle (1cm); % Large circle
        \draw (0,0) circle (0.5cm); % Small circle
        \draw (0,2) -- (0,1.5); % Vertical line
        \draw (-1,0) circle (0.5cm); % Left bottom circle
        \draw (1,0) circle (0.5cm); % Right bottom circle
        \draw (0,0) -- (-1,0); % Left connection
        \draw (0,0) -- (1,0); % Right connection
    \end{scope}
    
    % Second Diagram
    \begin{scope}[shift={(4,0)}]
        \draw (0,2) circle (1cm); % Large circle
        \draw (0,0) circle (0.5cm); % Small circle
        \draw (0,2) -- (0,1.5); % Vertical line
        \draw (-1.5,0) circle (0.5cm); % Left bottom circle
        \draw (0,0) -- (-1.5,0); % Left connection
        \draw (1.5,0) circle (0.5cm); % Right bottom circle
        \draw (0,0) -- (1.5,0); % Right connection
        \draw (0.75,0) circle (0.5cm); % Middle bottom circle
        \draw (0,0) -- (0.75,0); % Middle connection
    \end{scope}
\end{tikzpicture}
    \end{document}"
8,"The image is a line graph with a logarithmic scale on the x-axis labeled ""Instruction Scales"" ranging from 1/10 to 1. The y-axis is labeled ""BLEU"" and ranges from 20 to 50. There are three lines representing different languages: Zh-En (blue), De-En (red), and Fr-En (brown). Each line has corresponding data points marked by square markers at various scales on the x-axis.

- The blue line for Zh-En starts at approximately 20 BLEU at 1/10 and increases steadily to around 30 BLEU at 1.
- The red line for De-En starts at approximately 20 BLEU at 1/10 and increases more steeply than the blue line, reaching around 40 BLEU at 1.
- The brown line for Fr-En starts at approximately 20 BLEU at 1/10 and increases gradually, reaching around 35 BLEU at 1.

Each line has a legend indicating its language pair. The graph includes gridlines for better readability of the data points. The overall trend shows an increase in BLEU scores as the instruction scales increase, with De-En showing the highest improvement.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
\begin{axis}[
    xlabel={Instruction Scales},
    ylabel={BLEU},
    xmode=log,
    xmin=0.1, xmax=1,
    ymin=20, ymax=50,
    xtick={0.1, 0.2, 0.5, 1},
    ytick={20, 25, 30, 35, 40, 45, 50},
    grid=both,
    legend style={at={(1.05,1)}, anchor=south west},
    title={BLEU Scores by Instruction Scales}
]
\addplot[color=blue, thick, mark=square] coordinates {
    (0.1, 20) (0.2, 23) (0.5, 26) (1, 30)
};
\addlegendentry{Zh-En}

\addplot[color=red, thick, mark=square] coordinates {
    (0.1, 20) (0.2, 28) (0.5, 35) (1, 40)
};
\addlegendentry{De-En}

\addplot[color=brown, thick, mark=square] coordinates {
    (0.1, 20) (0.2, 25) (0.5, 30) (1, 35)
};
\addlegendentry{Fr-En}
\end{axis}
\end{tikzpicture}
    \end{document}"
9,"The image consists of three separate diagrams, each depicting a different type of graph or network structure. 

1. **Left Diagram:**
   - This diagram shows a simple tree-like structure.
   - It has one central node (a black dot) from which three branches extend outward.
   - Each branch ends in an arrow pointing away from the central node.
   - The label ""Γ"" is placed near the central node.

2. **Middle Diagram:**
   - This diagram illustrates a more complex structure with multiple nodes and edges.
   - There are two main nodes connected by a series of loops and paths.
   - The loops form a pattern resembling a flower or a starburst.
   - The label ""Γ₂"" is positioned near the central area where the loops intersect.
   - Arrows indicate the direction of flow or connection between the nodes.

3. **Right Diagram:**
   - This diagram depicts a closed loop or cycle.
   - It features a single continuous path that forms a loop, with arrows indicating the direction of traversal.
   - The label ""C"" is placed near the end of the loop, suggesting that this loop might be part of a larger cycle or boundary.
   - The structure resembles a figure-eight shape with additional loops extending from the main loop.

Each diagram is drawn in black lines on a white background, with no additional colors used. The focus is on the shapes, connections, and labels to convey the nature of the structures depicted.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}

% Left Diagram
\node[circle, fill=black, inner sep=2pt] (central) at (0,0) {};
\node at (0, 0.5) {$\Gamma$};
\foreach \x in {-1, 0, 1} {
    \draw[->] (central) -- (\x, -1) node[midway, right] {};
}

% Middle Diagram
\begin{scope}[xshift=4cm]
    \node[circle, fill=black, inner sep=2pt] (node1) at (0,0) {};
    \node[circle, fill=black, inner sep=2pt] (node2) at (2,0) {};
    \node at (1, 0.5) {$\Gamma_2$};
    \foreach \x in {0, 1, 2} {
        \draw[->] (node1) -- (1 + \x*0.5, 0.5);
        \draw[->] (node1) -- (1 + \x*0.5, -0.5);
        \draw[->] (node2) -- (1 + \x*0.5, 0.5);
        \draw[->] (node2) -- (1 + \x*0.5, -0.5);
    }
    \draw[->] (node1) -- (node2);
\end{scope}

% Right Diagram
\begin{scope}[xshift=8cm]
    \draw[->] (0,0) to[out=45, in=135] (1,1) to[out=-45, in=45] (0,0);
    \draw[->] (0,0) to[out=-45, in=225] (-1,-1) to[out=135, in=-45] (0,0);
    \node at (0, -1) {$C$};
\end{scope}
\end{tikzpicture}
    \end{document}"
10,"The image depicts a geometric figure within a larger square labeled ""R"" in the top left corner. The larger square is outlined in blue and filled with a light purple color. Inside this square, there are two distinct black shapes.

1. **Left Shape**: 
   - This shape resembles a series of nested squares.
   - It starts with a large outer square, followed by a smaller inner square, then another even smaller square, and finally a very small central square.
   - The squares are aligned vertically, with each square's top edge touching the bottom edge of the next smaller square.
   - The entire nested square structure is outlined in black.

2. **Right Shape**:
   - This shape is more complex and appears to be a combination of geometric forms.
   - It includes a large, irregularly shaped black area that seems to be a distorted rectangle or parallelogram.
   - Within this larger shape, there are several smaller black shapes, including what looks like a diamond or rhombus, and possibly some hexagonal or pentagonal shapes.
   - The right shape is also outlined in black and is positioned diagonally relative to the nested squares on the left.

3. **Text and Labels**:
   - In the upper right corner of the larger square, there is a label ""σ"" written in black, indicating a possible mathematical or symbolic notation related to the figure.

The overall composition suggests a mathematical or geometric diagram, possibly representing a transformation or a set of nested shapes within a larger region.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Larger square R
    \fill[lightpurple] (0,0) rectangle (5,5);
    \draw[blue, thick] (0,0) rectangle (5,5);
    \node at (0.5,4.5) {\textbf{R}};
    
    % Left shape: Nested squares
    \draw[black] (0.5,1) rectangle (1.5,2);
    \draw[black] (0.3,1.2) rectangle (1.7,1.8);
    \draw[black] (0.1,1.4) rectangle (1.9,1.6);
    \draw[black] (0,1.5) rectangle (2,1.5);
    
    % Right shape: Complex black area
    \fill[black] (2.5,1) -- (4,2) -- (3.5,4) -- (2,3) -- cycle;
    \fill[black] (3,2) -- (3.5,2.5) -- (3,3) -- (2.5,2.5) -- cycle;
    \fill[black] (3,3) -- (3.5,3.5) -- (3,4) -- (2.5,3.5) -- cycle;

    % Label σ
    \node at (4.5,4.5) {\textbf{σ}};
\end{tikzpicture}
    \end{document}"
